,FID,Lat,Long,LC08_168061_20150105,LC08_168061_20150121,LC08_168061_20150206,LC08_168061_20150222,LC08_168061_20150310,LC08_168061_20150326,LC08_168061_20150411,LC08_168061_20150427,LC08_168061_20150513,LC08_168061_20150529,LC08_168061_20150614,LC08_168061_20150630,LC08_168061_20150716,LC08_168061_20150801,LC08_168061_20150817,LC08_168061_20150902,LC08_168061_20150918,LC08_168061_20151004,LC08_168061_20151020,LC08_168061_20151105,LC08_168061_20151121,LC08_168061_20151207,LC08_168061_20151223,LC08_168061_20160108,LC08_168061_20160124,LC08_168061_20160209,LC08_168061_20160225,LC08_168061_20160312,LC08_168061_20160328,LC08_168061_20160413,LC08_168061_20160429,LC08_168061_20160515,LC08_168061_20160531,LC08_168061_20160616,LC08_168061_20160702,LC08_168061_20160718,LC08_168061_20160803,LC08_168061_20160819,LC08_168061_20160904,LC08_168061_20160920,LC08_168061_20161006,LC08_168061_20161022,LC08_168061_20161107,LC08_168061_20161123,LC08_168061_20161209,LC08_168061_20161225,LC08_168061_20170110,LC08_168061_20170126,LC08_168061_20170211,LC08_168061_20170227,LC08_168061_20170315,LC08_168061_20170331,LC08_168061_20170416,LC08_168061_20170502,LC08_168061_20170518,LC08_168061_20170603,LC08_168061_20170619,LC08_168061_20170705,LC08_168061_20170721,LC08_168061_20170806,LC08_168061_20170822,LC08_168061_20170907,LC08_168061_20170923,LC08_168061_20171009,LC08_168061_20171110,LC08_168061_20171126,LC08_168061_20171212,LC08_168061_20171228,LC08_168061_20180113,LC08_168061_20180129,LC08_168061_20180214,LC08_168061_20180302,LC08_168061_20180318,LC08_168061_20180403,LC08_168061_20180419,LC08_168061_20180505,LC08_168061_20180521,LC08_168061_20180606,LC08_168061_20180622,LC08_168061_20180708,LC08_168061_20180724,LC08_168061_20180809,LC08_168061_20180825,LC08_168061_20180910,LC08_168061_20180926,LC08_168061_20181012,LC08_168061_20181028,LC08_168061_20181113,LC08_168061_20181129,LC08_168061_20181215,LC08_168061_20181231,LC08_168061_20190116,LC08_168061_20190201,LC08_168061_20190217,LC08_168061_20190305,LC08_168061_20190321,LC08_168061_20190406,PREDICTED
0,576.0,-1.343461079,37.28574675,26.72900009,22.84600067,26.99640083,22.29680061,0.0,0.0,0.0,24.32410049,0.0,24.91049957,0.0,26.10009956,24.53030014,24.18090057,0.0,27.90110016,28.85700035,22.84370041,0.0,23.54529953,22.74379921,23.88430023,25.89369965,0.0,27.70179939,25.04719925,27.60000038,26.29809952,0.0,25.55109978,24.54940033,24.45770073,0.0,0.0,26.24080086,0.0,0.0,27.69260025,27.69400024,0.0,23.15889931,0.0,23.88339996,27.92740059,24.68729973,26.9151001,26.15620041,25.82579994,21.68790054,19.93219948,0.0,0.0,23.13610077,0.0,0.0,23.87470055,25.2723999,0.0,28.71190071,26.20610046,0.0,24.3906002,26.31049919,27.22249985,0.0,29.27300072,24.47850037,24.39749908,0.0,18.47839928,23.97190094,0.0,23.6678009,0.0,0.0,0.0,0.0,26.24769974,27.50449944,0.0,29.67790031,25.19930077,0.0,0.0,0.0,22.20709991,0.0,27.41080093,0.0,24.25300026,29.9178009,0.0,26.98959923,26.36860085,0.0,24.72669983,0.0,24.758105683788017
1,804.0,-1.358392877,37.30056194,27.0272007,24.30800056,0.0,22.8885994,0.0,0.0,0.0,22.92230034,0.0,25.61510086,0.0,25.96870041,23.5883007,24.57060051,22.30389977,0.0,30.28479958,0.0,0.0,24.2045002,0.0,23.2663002,26.02479935,0.0,27.69219971,25.76379967,28.3390007,26.68289948,0.0,26.13800049,24.5060997,23.1753006,0.0,0.0,26.98959923,0.0,24.8118,28.36000061,27.69350052,0.0,0.0,0.0,25.59950066,27.49850082,26.53339958,22.66360092,29.59189987,24.85989952,0.0,24.38129997,0.0,0.0,24.4829998,0.0,0.0,0.0,0.0,0.0,29.02179909,27.56240082,0.0,0.0,24.97879982,27.16650009,0.0,28.87779999,0.0,23.85639954,0.0,0.0,24.61199951,0.0,23.30890083,0.0,0.0,0.0,0.0,26.71809959,28.61310005,0.0,30.59129906,25.18910027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.15570068,0.0,26.75009918,0.0,15.440669033167978
2,416.0,-1.383899127,37.30647431,27.03079987,0.0,25.17580032,21.75049973,0.0,0.0,0.0,0.0,0.0,23.59259987,0.0,25.75489998,0.0,0.0,27.40200043,0.0,29.9564991,20.39979935,0.0,23.30209923,24.25499916,24.43180084,26.09199905,0.0,26.86459923,0.0,27.56719971,22.34440041,0.0,25.49679947,24.30400085,24.26099968,0.0,0.0,26.07769966,0.0,0.0,30.8302002,26.76819992,0.0,0.0,22.02120018,0.0,0.0,0.0,26.73959923,29.82049942,26.08379936,23.64489937,0.0,0.0,23.43029976,24.33349991,0.0,0.0,0.0,0.0,0.0,28.32629967,25.64599991,0.0,24.5352993,25.22730064,27.71969986,24.71080017,28.72900009,0.0,24.27219963,0.0,20.02709961,24.15550041,0.0,23.12700081,0.0,0.0,0.0,0.0,24.77389908,27.70059967,29.34530067,30.44849968,24.3810997,23.93230057,0.0,21.8567009,21.4314003,0.0,25.72850037,0.0,24.75499916,29.31240082,28.67720032,0.0,26.88759995,0.0,26.40909958,0.0,20.689864616375417
3,967.0,-1.372505551,37.30783016,26.19930077,0.0,26.43729973,22.63800049,26.86739922,0.0,0.0,23.46199989,0.0,25.04260063,0.0,26.25810051,23.67970085,0.0,26.37229919,0.0,30.26619911,0.0,0.0,24.28339958,22.63470078,0.0,25.26469994,0.0,26.37220001,0.0,26.96920013,24.62380028,20.93050003,25.22340012,25.17270088,23.6284008,0.0,0.0,26.00200081,0.0,0.0,29.89290047,26.58209991,0.0,0.0,0.0,0.0,26.48290062,23.4531002,25.11779976,27.69370079,25.15439987,23.06410027,0.0,0.0,23.4272995,23.7031002,0.0,0.0,0.0,0.0,0.0,28.18510056,28.26300049,0.0,24.42919922,25.37940025,26.35219955,25.71789932,28.10499954,23.82999992,22.96899986,20.59620094,18.44729996,24.02350044,0.0,22.23329926,0.0,0.0,0.0,0.0,25.62109947,27.76880074,0.0,30.2071991,25.33709908,22.77949905,0.0,0.0,0.0,0.0,26.43260002,0.0,24.97410011,29.71190071,26.29969978,0.0,27.26910019,0.0,27.35969925,0.0,31.020286421695573
4,81.0,-1.361649215,37.3016379,26.39800072,23.63170052,0.0,22.48080063,0.0,0.0,0.0,0.0,0.0,25.09140015,0.0,25.07069969,24.63400078,27.41469955,22.67350006,0.0,29.78980064,0.0,0.0,24.64710045,0.0,22.90229988,25.65539932,0.0,27.02260017,25.92359924,27.75729942,25.2928009,0.0,25.99850082,24.37599945,23.41399956,0.0,0.0,26.09350014,0.0,0.0,29.85630035,27.07920074,0.0,0.0,0.0,25.0897007,26.2208004,26.04529953,0.0,29.19759941,0.0,0.0,21.58119965,0.0,0.0,23.32130051,0.0,0.0,0.0,23.49430084,0.0,28.45639992,28.03590012,0.0,0.0,23.93300056,26.53560066,0.0,28.06279945,0.0,0.0,0.0,0.0,24.17860031,0.0,22.87770081,0.0,0.0,0.0,0.0,26.53190041,27.99600029,0.0,30.125,24.9477005,0.0,0.0,0.0,0.0,0.0,27.03879929,0.0,24.64279938,0.0,0.0,0.0,26.99119949,0.0,26.43260002,0.0,26.21081113127093
5,369.0,-1.378204557,37.3102522,27.02890015,23.92720032,27.54540062,23.6420002,0.0,0.0,0.0,0.0,0.0,24.8628006,0.0,27.15500069,0.0,0.0,27.75860023,0.0,30.90990067,0.0,22.55279922,24.3477993,22.92630005,23.61529922,25.79409981,0.0,27.46730042,0.0,28.32259941,0.0,0.0,25.82530022,25.26910019,24.10989952,0.0,0.0,26.74180031,0.0,27.8477993,30.94449997,26.93020058,0.0,0.0,23.69470024,0.0,0.0,0.0,28.11759949,30.24790001,0.0,24.33349991,0.0,0.0,0.0,24.22120094,0.0,0.0,0.0,0.0,0.0,29.52039909,0.0,22.66939926,24.4557991,26.43239975,27.8586998,25.79649925,29.10499954,0.0,24.49279976,0.0,20.48119926,24.27029991,0.0,22.72069931,0.0,0.0,0.0,23.04100037,25.60339928,28.35810089,30.88979912,31.78660011,26.65740013,0.0,0.0,0.0,0.0,0.0,27.31209946,0.0,0.0,30.49909973,29.30699921,0.0,27.69669914,0.0,27.40229988,0.0,26.191878493606055
6,53.0,-1.361580787,37.3037544,26.92099953,23.5135994,0.0,22.01140022,0.0,0.0,15.51749992,23.83729935,0.0,24.87010002,0.0,24.23069954,25.30649948,27.89310074,22.74620056,0.0,30.93390083,0.0,0.0,24.79039955,0.0,21.85919952,25.98839951,0.0,27.61120033,25.79199982,28.33749962,25.47850037,0.0,26.97380066,25.26790047,24.22730064,0.0,0.0,26.94869995,0.0,0.0,30.83959961,27.69120026,0.0,0.0,22.64559937,25.53650093,26.40060043,26.88190079,0.0,30.27169991,24.00370026,0.0,23.83359909,0.0,0.0,25.1128006,0.0,0.0,0.0,0.0,0.0,29.57390022,28.71319962,0.0,23.88739967,25.43810081,27.10619926,0.0,29.01409912,0.0,24.2723999,0.0,0.0,24.59250069,0.0,23.12470055,0.0,0.0,0.0,0.0,27.21199989,27.59219933,23.11779976,31.09749985,24.97540092,0.0,0.0,0.0,0.0,0.0,27.82889938,0.0,25.66830063,0.0,0.0,20.83250046,27.38629913,0.0,26.79339981,0.0,28.920257764279473
7,311.0,-1.36653545,37.30567787,26.45199966,23.55089951,26.66570091,22.94129944,0.0,0.0,0.0,24.07080078,0.0,24.36599922,0.0,26.40449905,25.4701004,0.0,24.2602005,0.0,30.49640083,0.0,0.0,24.29660034,0.0,0.0,25.72979927,0.0,26.70680046,25.67029953,27.75090027,26.95249939,0.0,25.46640015,25.94059944,24.89620018,0.0,0.0,26.44020081,0.0,0.0,30.6996994,26.92070007,0.0,0.0,23.24909973,24.07699966,26.04990005,25.47220039,0.0,29.60770035,24.65719986,24.17469978,0.0,0.0,24.18639946,24.70050049,0.0,0.0,0.0,25.79430008,0.0,28.68759918,27.74570084,0.0,24.72809982,0.0,27.25189972,0.0,28.36090088,0.0,23.86020088,0.0,0.0,24.25919914,0.0,22.61219978,0.0,0.0,0.0,0.0,26.80590057,28.3220005,28.59480095,30.3817997,24.01280022,22.9333992,0.0,0.0,0.0,0.0,26.92959976,0.0,25.58180046,26.92849922,0.0,0.0,27.2798996,0.0,27.06089973,0.0,14.28886515747945
8,736.0,-1.355670917,37.28789465,27.42490005,0.0,26.15519905,23.04299927,27.01740074,0.0,0.0,0.0,0.0,25.30850029,0.0,27.76980019,26.42370033,27.74069977,20.68700027,0.0,30.45789909,0.0,0.0,24.53160095,0.0,25.10110092,26.27980042,0.0,28.78370094,27.84110069,28.95190048,27.95359993,0.0,26.24220085,24.59970093,22.74060059,0.0,0.0,27.11730003,0.0,24.60549927,29.34049988,28.5564003,0.0,0.0,0.0,26.45210075,26.99099922,24.57239914,0.0,24.35090065,24.8288002,23.13170052,23.16390038,0.0,0.0,20.62579918,0.0,0.0,24.30739975,0.0,0.0,29.86940002,27.3743,0.0,0.0,26.66130066,27.76689911,0.0,29.29070091,0.0,23.95809937,0.0,19.51819992,24.32159996,0.0,24.13419914,0.0,0.0,0.0,0.0,27.40509987,29.24080086,26.49430084,31.22480011,26.58410072,0.0,23.1364994,0.0,0.0,0.0,28.48130035,0.0,0.0,31.56329918,29.10040092,0.0,26.86919975,0.0,26.73570061,0.0,32.478954694159256
9,593.0,-1.344820412,37.28978913,27.1711998,0.0,27.65530014,23.38640022,29.00639915,0.0,0.0,23.39579964,0.0,25.68510056,0.0,26.17429924,26.04210091,0.0,0.0,29.33690071,30.21080017,0.0,0.0,0.0,0.0,0.0,26.30150032,0.0,28.42000008,26.58009911,28.60519981,27.4904995,0.0,26.69619942,0.0,0.0,0.0,0.0,26.84449959,0.0,0.0,0.0,28.0522995,0.0,23.03479958,0.0,24.95249939,28.3973999,25.70089912,27.71879959,0.0,26.19169998,0.0,0.0,0.0,0.0,23.20730019,0.0,0.0,0.0,0.0,0.0,29.37599945,0.0,0.0,23.80240059,26.90390015,27.6779995,0.0,29.98620033,24.36910057,24.00390053,0.0,0.0,24.08340073,0.0,23.97859955,0.0,0.0,0.0,0.0,26.92060089,28.69829941,23.64340019,30.46369934,25.11109924,0.0,0.0,0.0,0.0,0.0,27.97179985,0.0,25.57419968,30.67440033,25.61160088,27.36969948,26.8810997,21.72130013,26.59329987,0.0,0.0
10,725.0,-1.354587266,37.29005186,26.87899971,0.0,25.83029938,0.0,26.07659912,0.0,0.0,23.39819908,0.0,25.48880005,0.0,27.58709908,25.99440002,25.89139938,20.61070061,0.0,29.95490074,0.0,0.0,24.50469971,0.0,24.84980011,26.05870056,0.0,28.45859909,25.64299965,28.5333004,27.3166008,0.0,26.21929932,23.74110031,23.29940033,0.0,0.0,26.96629906,0.0,0.0,0.0,28.09020042,0.0,0.0,0.0,25.9817009,26.37420082,24.16589928,25.41480064,0.0,0.0,23.10610008,0.0,21.15880013,0.0,21.03689957,0.0,0.0,23.91259956,0.0,0.0,29.62210083,27.39159966,0.0,0.0,26.33530045,27.2003994,0.0,28.77890015,0.0,23.92140007,0.0,19.52039909,24.28580093,0.0,23.91799927,0.0,0.0,0.0,0.0,26.9810009,28.61289978,26.77759933,30.8572998,25.91909981,0.0,0.0,0.0,0.0,0.0,27.10230064,0.0,0.0,30.87730026,28.25650024,25.75919914,26.73270035,21.39949989,26.38940048,0.0,22.97103510996567
11,406.0,-1.383356143,37.30593557,27.11009979,0.0,24.66309929,21.95059967,0.0,0.0,0.0,0.0,0.0,23.47249985,0.0,0.0,0.0,24.90119934,27.51860046,0.0,30.22800064,0.0,0.0,23.3689003,24.08919907,24.27869987,25.92160034,0.0,26.86529922,0.0,27.65780067,21.68840027,0.0,25.44050026,24.71559906,24.21459961,0.0,0.0,26.26339912,0.0,0.0,31.15719986,26.96159935,0.0,0.0,22.46190071,0.0,0.0,0.0,26.42420006,30.25040054,26.37290001,23.82369995,0.0,0.0,23.15360069,22.7784996,0.0,0.0,0.0,0.0,0.0,28.62220001,26.48730087,0.0,24.85759926,24.95709991,28.05360031,25.36619949,29.12870026,0.0,24.35589981,0.0,19.76259995,24.02499962,0.0,23.08049965,0.0,0.0,0.0,21.80019951,24.6508007,27.96730042,29.66580009,31.05150032,0.0,24.35880089,0.0,0.0,0.0,0.0,25.73010063,0.0,24.76659966,29.49850082,29.09480095,0.0,27.03370094,0.0,26.87490082,0.0,30.656075328652292
12,819.0,-1.358120435,37.29894478,26.58740044,23.50020027,0.0,22.81879997,0.0,0.0,0.0,24.06669998,0.0,25.50359917,0.0,27.06060028,24.66410065,0.0,21.90880013,0.0,30.27479935,0.0,0.0,24.4666996,0.0,23.30410004,25.82799911,0.0,27.58679962,26.07080078,28.33099937,27.07220078,0.0,26.47139931,24.61380005,23.18330002,0.0,0.0,26.89609909,0.0,0.0,29.31430054,27.75690079,0.0,0.0,0.0,25.64220047,27.72019958,26.38159943,0.0,28.86149979,25.41559982,0.0,24.29969978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.02610016,26.50029945,0.0,0.0,25.00040054,27.05750084,0.0,28.50769997,0.0,24.29190063,0.0,0.0,24.37649918,0.0,23.68560028,0.0,0.0,0.0,0.0,26.86440086,28.64100075,0.0,30.59320068,25.0279007,0.0,0.0,0.0,0.0,0.0,24.92609978,0.0,0.0,0.0,26.12859917,0.0,26.96509933,0.0,26.83799934,0.0,24.314895273273578
